director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,combo
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the battle of the five armies,Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
Marc Webb,Action Adventure Fantasy,Emma Stone,Andrew Garfield,Chris Zylka,the amazing spider-man,Marc Webb Emma Stone Andrew Garfield Chris Zylka Action Adventure Fantasy
Ridley Scott,Action Adventure Drama History,Mark Addy,William Hurt,Scott Grimes,robin hood,Ridley Scott Mark Addy William Hurt Scott Grimes Action Adventure Drama History
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the desolation of smaug,Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
Chris Weitz,Adventure Family Fantasy,Christopher Lee,Eva Green,Kristin Scott Thomas,the golden compass,Chris Weitz Christopher Lee Eva Green Kristin Scott Thomas Adventure Family Fantasy
James Cameron,Drama Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,titanic,James Cameron Leonardo DiCaprio Kate Winslet Gloria Stuart Drama Romance
Anthony Russo,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Chris Evans,captain america: civil war,Anthony Russo Robert Downey Jr. Scarlett Johansson Chris Evans Action Adventure Sci-Fi
Peter Berg,Action Adventure Sci-Fi Thriller,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,battleship,Peter Berg Liam Neeson Alexander Skarsgård Tadanobu Asano Action Adventure Sci-Fi Thriller
Colin Trevorrow,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Judy Greer,Omar Sy,jurassic world,Colin Trevorrow Bryce Dallas Howard Judy Greer Omar Sy Action Adventure Sci-Fi Thriller
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,spider-man 2,Sam Raimi J.K. Simmons James Franco Kirsten Dunst Action Adventure Fantasy Romance
Shane Black,Action Adventure Sci-Fi,Robert Downey Jr.,Jon Favreau,Don Cheadle,iron man 3,Shane Black Robert Downey Jr. Jon Favreau Don Cheadle Action Adventure Sci-Fi
Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,x-men: the last stand,Brett Ratner Hugh Jackman Kelsey Grammer Daniel Cudmore Action Adventure Fantasy Sci-Fi Thriller
Dan Scanlon,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Tyler Labine,Sean Hayes,monsters university,Dan Scanlon Steve Buscemi Tyler Labine Sean Hayes Adventure Animation Comedy Family Fantasy
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,transformers: revenge of the fallen,Michael Bay Glenn Morshower Kevin Dunn Ramon Rodriguez Action Adventure Sci-Fi
Michael Bay,Action Adventure Sci-Fi,Bingbing Li,Sophia Myles,Kelsey Grammer,transformers: age of extinction,Michael Bay Bingbing Li Sophia Myles Kelsey Grammer Action Adventure Sci-Fi
Marc Webb,Action Adventure Fantasy Sci-Fi,Emma Stone,Andrew Garfield,B.J. Novak,the amazing spider-man 2,Marc Webb Emma Stone Andrew Garfield B.J. Novak Action Adventure Fantasy Sci-Fi
John Lasseter,Adventure Animation Comedy Family Sport,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,cars 2,John Lasseter Joe Mantegna Thomas Kretschmann Eddie Izzard Adventure Animation Comedy Family Sport
Martin Campbell,Action Adventure Sci-Fi,Ryan Reynolds,Temuera Morrison,Taika Waititi,green lantern,Martin Campbell Ryan Reynolds Temuera Morrison Taika Waititi Action Adventure Sci-Fi
Lee Unkrich,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Don Rickles,toy story 3,Lee Unkrich Tom Hanks John Ratzenberger Don Rickles Adventure Animation Comedy Family Fantasy
McG,Action Adventure Sci-Fi,Christian Bale,Bryce Dallas Howard,Common,terminator salvation,McG Christian Bale Bryce Dallas Howard Common Action Adventure Sci-Fi
James Wan,Action Crime Thriller,Jason Statham,Paul Walker,Vin Diesel,furious 7,James Wan Jason Statham Paul Walker Vin Diesel Action Crime Thriller
Marc Forster,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,Brad Pitt,Mireille Enos,world war z,Marc Forster Peter Capaldi Brad Pitt Mireille Enos Action Adventure Horror Sci-Fi Thriller
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,x-men: days of future past,Bryan Singer Jennifer Lawrence Peter Dinklage Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller
J.J. Abrams,Action Adventure Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,star trek into darkness,J.J. Abrams Benedict Cumberbatch Bruce Greenwood Noel Clarke Action Adventure Sci-Fi
Bryan Singer,Adventure Fantasy,Eddie Marsan,Ewen Bremner,Ralph Brown,jack the giant slayer,Bryan Singer Eddie Marsan Ewen Bremner Ralph Brown Adventure Fantasy
Mike Newell,Action Adventure Fantasy Romance,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,prince of persia: the sands of time,Mike Newell Jake Gyllenhaal Richard Coyle Reece Ritchie Action Adventure Fantasy Romance
Guillermo del Toro,Action Adventure Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,pacific rim,Guillermo del Toro Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Action Adventure Sci-Fi
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Lester Speight,Kevin Dunn,transformers: dark of the moon,Michael Bay Glenn Morshower Lester Speight Kevin Dunn Action Adventure Sci-Fi
Steven Spielberg,Action Adventure Fantasy,Harrison Ford,Ray Winstone,Jim Broadbent,indiana jones and the kingdom of the crystal skull,Steven Spielberg Harrison Ford Ray Winstone Jim Broadbent Action Adventure Fantasy
Peter Sohn,Adventure Animation Comedy Family Fantasy,A.J. Buckley,Jack McGraw,Peter Sohn,the good dinosaur,Peter Sohn A.J. Buckley Jack McGraw Peter Sohn Adventure Animation Comedy Family Fantasy
Mark Andrews,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,John Ratzenberger,Julie Walters,brave,Mark Andrews Kelly Macdonald John Ratzenberger Julie Walters Adventure Animation Comedy Family Fantasy
Justin Lin,Action Adventure Sci-Fi Thriller,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,star trek beyond,Justin Lin Sofia Boutella Melissa Roxburgh Lydia Wilson Action Adventure Sci-Fi Thriller
Andrew Stanton,Adventure Animation Family Sci-Fi,John Ratzenberger,Fred Willard,Jeff Garlin,wall·e,Andrew Stanton John Ratzenberger Fred Willard Jeff Garlin Adventure Animation Family Sci-Fi
Brett Ratner,Action Comedy Crime Thriller,Tzi Ma,Dana Ivey,Noémie Lenoir,rush hour 3,Brett Ratner Tzi Ma Dana Ivey Noémie Lenoir Action Comedy Crime Thriller
Roland Emmerich,Action Adventure Sci-Fi,Oliver Platt,Liam James,Tom McCarthy,2012,Roland Emmerich Oliver Platt Liam James Tom McCarthy Action Adventure Sci-Fi
Robert Zemeckis,Animation Drama Family Fantasy,Robin Wright,Colin Firth,Gary Oldman,a christmas carol,Robert Zemeckis Robin Wright Colin Firth Gary Oldman Animation Drama Family Fantasy
Lana Wachowski,Action Adventure Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne,jupiter ascending,Lana Wachowski Channing Tatum Mila Kunis Eddie Redmayne Action Adventure Sci-Fi
Andrew Adamson,Adventure Family Fantasy,Jim Broadbent,Kiran Shah,Shane Rangi,"the chronicles of narnia: the lion, the witch and the wardrobe",Andrew Adamson Jim Broadbent Kiran Shah Shane Rangi Adventure Family Fantasy
Bryan Singer,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,x-men: apocalypse,Bryan Singer Jennifer Lawrence Michael Fassbender Tye Sheridan Action Adventure Sci-Fi
Christopher Nolan,Action Crime Drama Thriller,Christian Bale,Heath Ledger,Morgan Freeman,the dark knight,Christopher Nolan Christian Bale Heath Ledger Morgan Freeman Action Crime Drama Thriller
Pete Docter,Adventure Animation Comedy Family,John Ratzenberger,Delroy Lindo,Jess Harnell,up,Pete Docter John Ratzenberger Delroy Lindo Jess Harnell Adventure Animation Comedy Family
Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Rainn Wilson,Stephen Colbert,monsters vs. aliens,Rob Letterman Amy Poehler Rainn Wilson Stephen Colbert Action Adventure Animation Comedy Family Sci-Fi
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Jeff Bridges,Jon Favreau,iron man,Jon Favreau Robert Downey Jr. Jeff Bridges Jon Favreau Action Adventure Sci-Fi
Martin Scorsese,Adventure Drama Family Mystery,Chloë Grace Moretz,Christopher Lee,Ray Winstone,hugo,Martin Scorsese Chloë Grace Moretz Christopher Lee Ray Winstone Adventure Drama Family Mystery
Barry Sonnenfeld,Action Comedy Sci-Fi Western,Will Smith,Salma Hayek,Bai Ling,wild wild west,Barry Sonnenfeld Will Smith Salma Hayek Bai Ling Action Comedy Sci-Fi Western
Rob Cohen,Action Adventure Fantasy Horror Thriller,Jet Li,Brendan Fraser,Russell Wong,the mummy: tomb of the dragon emperor,Rob Cohen Jet Li Brendan Fraser Russell Wong Action Adventure Fantasy Horror Thriller
David Ayer,Action Adventure Comedy Sci-Fi,Will Smith,Robin Atkin Downes,Ike Barinholtz,suicide squad,David Ayer Will Smith Robin Atkin Downes Ike Barinholtz Action Adventure Comedy Sci-Fi
Tom Shadyac,Comedy Family Fantasy,Jimmy Bennett,Morgan Freeman,Steve Carell,evan almighty,Tom Shadyac Jimmy Bennett Morgan Freeman Steve Carell Comedy Family Fantasy
Doug Liman,Action Adventure Sci-Fi,Tom Cruise,Lara Pulver,Noah Taylor,edge of tomorrow,Doug Liman Tom Cruise Lara Pulver Noah Taylor Action Adventure Sci-Fi
Kevin Reynolds,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,waterworld,Kevin Reynolds Jeanne Tripplehorn Rick Aviles Zakes Mokae Action Adventure Sci-Fi Thriller
Stephen Sommers,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,g.i. joe: the rise of cobra,Stephen Sommers Joseph Gordon-Levitt Dennis Quaid Leo Howard Action Adventure Sci-Fi Thriller
Pete Docter,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Mindy Kaling,Phyllis Smith,inside out,Pete Docter Amy Poehler Mindy Kaling Phyllis Smith Adventure Animation Comedy Drama Family Fantasy
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,iron man 2,Jon Favreau Robert Downey Jr. Scarlett Johansson Jon Favreau Action Adventure Sci-Fi
Rupert Sanders,Action Adventure Drama Fantasy,Chris Hemsworth,Kristen Stewart,Sam Claflin,snow white and the huntsman,Rupert Sanders Chris Hemsworth Kristen Stewart Sam Claflin Action Adventure Drama Fantasy
Robert Stromberg,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,maleficent,Robert Stromberg Angelina Jolie Pitt Sharlto Copley Sam Riley Action Adventure Family Fantasy Romance
Matt Reeves,Action Adventure Drama Sci-Fi,Gary Oldman,Judy Greer,Kodi Smit-McPhee,dawn of the planet of the apes,Matt Reeves Gary Oldman Judy Greer Kodi Smit-McPhee Action Adventure Drama Sci-Fi
Carl Rinsch,Action Adventure Drama Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,47 ronin,Carl Rinsch Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Action Adventure Drama Fantasy
Anthony Russo,Action Adventure Sci-Fi,Scarlett Johansson,Chris Evans,Hayley Atwell,captain america: the winter soldier,Anthony Russo Scarlett Johansson Chris Evans Hayley Atwell Action Adventure Sci-Fi
Mike Mitchell,Adventure Animation Comedy Family Fantasy,Jon Hamm,Kathy Griffin,Mary Kay Place,shrek forever after,Mike Mitchell Jon Hamm Kathy Griffin Mary Kay Place Adventure Animation Comedy Family Fantasy
Brad Bird,Action Adventure Family Mystery Sci-Fi,Judy Greer,Chris Bauer,Thomas Robinson,tomorrowland,Brad Bird Judy Greer Chris Bauer Thomas Robinson Action Adventure Family Mystery Sci-Fi
Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,big hero 6,Don Hall Damon Wayans Jr. Daniel Henney Abraham Benrubi Action Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,wreck-it ralph,Rich Moore Jack McBrayer Sarah Silverman Joe Lo Truglio Adventure Animation Comedy Family Sci-Fi
Robert Zemeckis,Adventure Animation Family Fantasy,Tom Hanks,Eddie Deezen,Peter Scolari,the polar express,Robert Zemeckis Tom Hanks Eddie Deezen Peter Scolari Adventure Animation Family Fantasy
Roland Emmerich,Action Adventure Sci-Fi,Vivica A. Fox,Sela Ward,Judd Hirsch,independence day: resurgence,Roland Emmerich Vivica A. Fox Sela Ward Judd Hirsch Action Adventure Sci-Fi
Dean DeBlois,Adventure Animation Family Fantasy,Gerard Butler,America Ferrera,Craig Ferguson,how to train your dragon,Dean DeBlois Gerard Butler America Ferrera Craig Ferguson Adventure Animation Family Fantasy
Jonathan Mostow,Action Sci-Fi,Nick Stahl,M.C. Gainey,Carolyn Hennesy,terminator 3: rise of the machines,Jonathan Mostow Nick Stahl M.C. Gainey Carolyn Hennesy Action Sci-Fi
James Gunn,Action Adventure Sci-Fi,Bradley Cooper,Vin Diesel,Djimon Hounsou,guardians of the galaxy,James Gunn Bradley Cooper Vin Diesel Djimon Hounsou Action Adventure Sci-Fi
Christopher Nolan,Adventure Drama Sci-Fi,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,interstellar,Christopher Nolan Matthew McConaughey Anne Hathaway Mackenzie Foy Adventure Drama Sci-Fi
Christopher Nolan,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,inception,Christopher Nolan Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: an unexpected journey,Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
David Fincher,Drama Fantasy Romance,Brad Pitt,Jason Flemyng,Julia Ormond,the curious case of benjamin button,David Fincher Brad Pitt Jason Flemyng Julia Ormond Drama Fantasy Romance
Matthew Vaughn,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Oliver Platt,x-men: first class,Matthew Vaughn Jennifer Lawrence Michael Fassbender Oliver Platt Action Adventure Sci-Fi
Francis Lawrence,Adventure Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 2,Francis Lawrence Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Adventure Sci-Fi
Jon Turteltaub,Action Adventure Family Fantasy,Nicolas Cage,Omar Benson Miller,Robert Capron,the sorcerer's apprentice,Jon Turteltaub Nicolas Cage Omar Benson Miller Robert Capron Action Adventure Family Fantasy
Wolfgang Petersen,Action Adventure Drama Thriller,Jimmy Bennett,Mike Vogel,Andre Braugher,poseidon,Wolfgang Petersen Jimmy Bennett Mike Vogel Andre Braugher Action Adventure Drama Thriller
James Bobin,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,alice through the looking glass,James Bobin Johnny Depp Alan Rickman Anne Hathaway Adventure Family Fantasy
Chris Miller,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Eric Idle,Rupert Everett,shrek the third,Chris Miller Justin Timberlake Eric Idle Rupert Everett Adventure Animation Comedy Family Fantasy
Duncan Jones,Action Adventure Fantasy,Dominic Cooper,Callum Rennie,Ruth Negga,warcraft,Duncan Jones Dominic Cooper Callum Rennie Ruth Negga Action Adventure Fantasy
Alan Taylor,Action Adventure Sci-Fi,J.K. Simmons,Emilia Clarke,Matt Smith,terminator genisys,Alan Taylor J.K. Simmons Emilia Clarke Matt Smith Action Adventure Sci-Fi
Michael Apted,Adventure Family Fantasy,Bruce Spence,Shane Rangi,Laura Brent,the chronicles of narnia: the voyage of the dawn treader,Michael Apted Bruce Spence Shane Rangi Laura Brent Adventure Family Fantasy
Michael Bay,Action Drama History Romance War,Jennifer Garner,Jaime King,Mako,pearl harbor,Michael Bay Jennifer Garner Jaime King Mako Action Drama History Romance War
Michael Bay,Action Adventure Sci-Fi,Zack Ward,Michael O'Neill,Kevin Dunn,transformers,Michael Bay Zack Ward Michael O'Neill Kevin Dunn Action Adventure Sci-Fi
Oliver Stone,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,alexander,Oliver Stone Anthony Hopkins Angelina Jolie Pitt Brian Blessed Action Adventure Biography Drama History Romance War
David Yates,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,harry potter and the order of the phoenix,David Yates Robert Pattinson Daniel Radcliffe Fiona Shaw Adventure Family Fantasy Mystery
Mike Newell,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Rupert Grint,harry potter and the goblet of fire,Mike Newell Robert Pattinson Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
Peter Berg,Action Drama,Will Smith,Charlize Theron,Eddie Marsan,hancock,Peter Berg Will Smith Charlize Theron Eddie Marsan Action Drama
Francis Lawrence,Drama Horror Sci-Fi,Will Smith,Alice Braga,Willow Smith,i am legend,Francis Lawrence Will Smith Alice Braga Willow Smith Drama Horror Sci-Fi
Tim Burton,Adventure Comedy Family Fantasy,Johnny Depp,Christopher Lee,David Kelly,charlie and the chocolate factory,Tim Burton Johnny Depp Christopher Lee David Kelly Adventure Comedy Family Fantasy
Brad Bird,Animation Comedy Family Fantasy,Janeane Garofalo,John Ratzenberger,Brian Dennehy,ratatouille,Brad Bird Janeane Garofalo John Ratzenberger Brian Dennehy Animation Comedy Family Fantasy
Christopher Nolan,Action Adventure,Christian Bale,Liam Neeson,Morgan Freeman,batman begins,Christopher Nolan Christian Bale Liam Neeson Morgan Freeman Action Adventure
Eric Darnell,Action Adventure Animation Comedy Family,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,madagascar: escape 2 africa,Eric Darnell Bernie Mac Jada Pinkett Smith Cedric the Entertainer Action Adventure Animation Comedy Family
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: battle of the smithsonian,Shawn Levy Robin Williams Rami Malek Steve Coogan Adventure Comedy Family Fantasy
Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,x-men origins: wolverine,Gavin Hood Hugh Jackman Ryan Reynolds Dominic Monaghan Action Adventure Fantasy Sci-Fi Thriller
Lana Wachowski,Action Sci-Fi,Essie Davis,Collin Chou,Nona Gaye,the matrix revolutions,Lana Wachowski Essie Davis Collin Chou Nona Gaye Action Sci-Fi
Chris Buck,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,frozen,Chris Buck Josh Gad Maurice LaMarche Livvy Stubenrauch Adventure Animation Comedy Family Fantasy Musical
Lana Wachowski,Action Sci-Fi,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,the matrix reloaded,Lana Wachowski Steve Bastoni Daniel Bernhardt Helmut Bakaitis Action Sci-Fi
Alan Taylor,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor: the dark world,Alan Taylor Chris Hemsworth Natalie Portman Anthony Hopkins Action Adventure Fantasy
George Miller,Action Adventure Sci-Fi Thriller,Tom Hardy,Charlize Theron,Zoë Kravitz,mad max: fury road,George Miller Tom Hardy Charlize Theron Zoë Kravitz Action Adventure Sci-Fi Thriller
Ron Howard,Mystery Thriller,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,angels & demons,Ron Howard Tom Hanks Ayelet Zurer Armin Mueller-Stahl Mystery Thriller
Kenneth Branagh,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor,Kenneth Branagh Chris Hemsworth Natalie Portman Anthony Hopkins Action Adventure Fantasy
Byron Howard,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,Diedrich Bader,James Lipton,bolt,Byron Howard Chloë Grace Moretz Diedrich Bader James Lipton Adventure Animation Comedy Drama Family
Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,g-force,Hoyt Yeatman Kelli Garner Piper Mackenzie Harris Niecy Nash Action Adventure Animation Comedy Family Fantasy Sci-Fi
Jonathan Liebesman,Action Adventure Fantasy,Liam Neeson,Edgar Ramírez,Lily James,wrath of the titans,Jonathan Liebesman Liam Neeson Edgar Ramírez Lily James Action Adventure Fantasy
Tim Burton,Comedy Fantasy Horror,Johnny Depp,Chloë Grace Moretz,Christopher Lee,dark shadows,Tim Burton Johnny Depp Chloë Grace Moretz Christopher Lee Comedy Fantasy Horror
Christopher McQuarrie,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Sean Harris,mission: impossible - rogue nation,Christopher McQuarrie Tom Cruise Jeremy Renner Sean Harris Action Adventure Thriller
Joe Johnston,Drama Fantasy Horror Thriller,Anthony Hopkins,Simon Merrells,Art Malik,the wolfman,Joe Johnston Anthony Hopkins Simon Merrells Art Malik Drama Fantasy Horror Thriller
David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,the legend of tarzan,David Yates Christoph Waltz Alexander Skarsgård Casper Crump Action Adventure Drama Romance
Steve Hickner,Adventure Animation Comedy Family,Matthew Broderick,Oprah Winfrey,Rip Torn,bee movie,Steve Hickner Matthew Broderick Oprah Winfrey Rip Torn Adventure Animation Comedy Family
Jennifer Yuh Nelson,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Gary Oldman,Mike Bell,kung fu panda 2,Jennifer Yuh Nelson Angelina Jolie Pitt Gary Oldman Mike Bell Action Adventure Animation Comedy Family
M. Night Shyamalan,Action Adventure Family Fantasy,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,the last airbender,M. Night Shyamalan Seychelle Gabriel Noah Ringer Aasif Mandvi Action Adventure Family Fantasy
J.J. Abrams,Action Adventure Thriller,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,mission: impossible iii,J.J. Abrams Philip Seymour Hoffman Tom Cruise Eddie Marsan Action Adventure Thriller
Roland Emmerich,Action Drama Thriller,Channing Tatum,Jake Weber,Matt Craven,white house down,Roland Emmerich Channing Tatum Jake Weber Matt Craven Action Drama Thriller
Simon Wells,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,mars needs moms,Simon Wells Elisabeth Harnois Dan Fogler Tom Everett Scott Action Adventure Animation Comedy Family Sci-Fi
David Bowers,Adventure Animation Comedy Family,Hugh Jackman,Kate Winslet,David Suchet,flushed away,David Bowers Hugh Jackman Kate Winslet David Suchet Adventure Animation Comedy Family
Rob Minkoff,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,Zach Callison,Karan Brar,mr. peabody & sherman,Rob Minkoff Ty Burrell Zach Callison Karan Brar Adventure Animation Comedy Family Sci-Fi
Wolfgang Petersen,Adventure,Brad Pitt,Orlando Bloom,Julian Glover,troy,Wolfgang Petersen Brad Pitt Orlando Bloom Julian Glover Adventure
Eric Darnell,Adventure Animation Comedy Family,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,madagascar 3: europe's most wanted,Eric Darnell Jada Pinkett Smith Martin Short Cedric the Entertainer Adventure Animation Comedy Family
